LDA n components:,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Silhouette Score,Davies-Bouldin Index,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI)
1,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.6324458212306708,0.4830067976655513,0.6793853377629956,0.5735769243402282
2,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.6096663331745684,0.5170910790692498,0.6793853377629956,0.5735769243402282
3,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.5797030820108525,0.5669060883679139,0.6793853377629956,0.5735769243402282
4,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.5394950553216284,0.6390588635350545,0.6793853377629956,0.5735769243402283
5,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.5065397138620265,0.7026629826543077,0.6793853377629956,0.5735769243402282
6,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.47796961640399616,0.7629722647741342,0.6793853377629956,0.5735769243402282
7,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.4489081256857365,0.8285348504495621,0.6793853377629956,0.5735769243402282
8,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.42615812593775626,0.8845232925668218,0.6793853377629956,0.5735769243402282
9,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.4070091729020088,0.9339308866448197,0.6793853377629956,0.5735769243402283
10,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.38863366639309704,0.984507195897611,0.6778084963521591,0.5718353709317361
11,0.9120772946859905,0.9124039944698694,0.911988846443964,0.9120131536512224,0.3731060407301868,1.029078630619964,0.6794040366076282,0.5735663158639502
12,0.9115942028985508,0.9119039680950923,0.9115262243867723,0.9115328804021123,0.3567027193228554,1.079978848166721,0.677892743386806,0.5721301619368655
13,0.91256038647343,0.9129226554279368,0.9124742833371677,0.9124947759429537,0.34467164832744024,1.118532273648653,0.6809808780184646,0.5753078692724423
14,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.33244463726034323,1.1602972914335123,0.6793853377629956,0.5735769243402283
15,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.3203127399976597,1.20308475783476,0.6793853377629956,0.5735769243402283
16,0.9115942028985508,0.9119039680950923,0.9115262243867723,0.9115328804021123,0.3087901047110293,1.245368197757823,0.677892743386806,0.5721301619368654
17,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.2970918989747968,1.2907998870915653,0.6778084963521591,0.571835370931736
18,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.28738447101546927,1.3303465629803752,0.6793853377629956,0.5735769243402282
19,0.91256038647343,0.9129226554279368,0.9124742833371677,0.9124947759429537,0.27797133296807447,1.3709692182223918,0.6809808780184646,0.5753078692724423
20,0.9115942028985508,0.9119039680950923,0.9115262243867723,0.9115328804021123,0.26945519787241584,1.4091120427669797,0.677892743386806,0.5721301619368654
21,0.9120772946859903,0.9123675518719032,0.9120166062292882,0.9120174588641301,0.26097199726377196,1.4490128070113066,0.6794788482398225,0.5737340643975771
22,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.25358440079175,1.48559869676859,0.6763159019759695,0.5703886085283734
